,an_analytical,an_cal,bn_analytical,bn_cal
0,0.3333333333333333,0.33333333333333337,0,0.0
1,-0.4,-0.40528473456935116,0,3.644314745252981e-17
2,0.1,0.1013211836423379,0,-6.227541683302938e-17
3,-0.044444444444444446,-0.045031637174372384,0,7.042334420837237e-17
4,0.025,0.02533029591058436,0,-1.123505214940244e-16
5,-0.016,-0.016211389382774118,0,5.515956424925374e-17
6,0.011111111111111112,0.011257909293592959,0,9.786036567308769e-17
7,-0.00816326530612245,-0.008271117032027549,0,-4.606442034809345e-17
8,0.00625,0.006332573977645866,0,8.885198429531969e-17
9,-0.0049382716049382715,-0.005003515241596713,0,1.8565715762281427e-17
